Duration,Start date,End date,Start station #,Start Station Lat,Start Station Lng,End station #,LATITUDE,LONGITUDE,Bike number
W00680,430,1/3/12 16:18,31703,38.897446,-77.009888,31112,38.8997,-77.023086,W00680
W00981,1268,1/1/12 1:39,31110,38.9154,-77.0446,31113,38.884,-76.995397,W00981
W00077,294,1/2/12 22:17,31012,38.905067,-77.041779,31115,38.902221,-77.059219,W00077
W00902,562,1/1/12 9:42,31205,38.9008,-77.047,31116,38.9126,-77.0135,W00902
W01376,559,1/1/12 13:01,31225,38.90375,-77.06269,31200,38.894514,-77.031617,W01376
W00790,460,1/1/12 0:53,31229,38.91554,-77.03818,31201,38.90985,-77.034438,W00790
W01070,599,1/2/12 14:28,31239,38.89696,-77.00493,31202,38.9059,-77.0325,W01070
W01283,411,1/1/12 16:35,31614,38.884,-76.995397,31203,38.9154,-77.0446,W01283
W00148,2319,1/1/12 12:16,31235,38.8923,-77.0436,31204,38.8923,-77.0436,W00148
W00279,1621,1/1/12 13:49,31101,38.886952,-76.996806,31205,38.9059,-77.0325,W00279
W00826,142,1/2/12 17:54,31113,38.898385,-77.031666,31206,38.90534,-77.046774,W00826
W00202,415,1/2/12 19:18,31011,38.9059,-77.0325,31207,38.897446,-77.009888,W00202
W01172,416,1/2/12 20:16,31605,38.9059,-77.0325,31208,38.89696,-77.00493,W01172
W01279,796,1/3/12 17:20,31022,38.9008,-77.047,31209,38.897222,-77.019347,W01279
W00789,1422,1/3/12 12:55,31004,38.90534,-77.046774,31211,38.922925,-77.042581,W00789
W00266,351,1/1/12 18:44,31214,38.89696,-77.00493,31212,38.886277,-77.028242,W00266
W00231,910,1/1/12 16:40,31116,38.9057,-77.0056,31213,38.9101,-77.0444,W00231
W00007,192,1/2/12 6:24,31305,38.947607,-77.079382,31214,38.886277,-77.028242,W00007
W01052,314,1/2/12 12:32,31618,38.9176,-77.0321,31215,38.8767,-77.0178,W01052
W00240,897,1/2/12 16:48,31112,38.882915,-76.987907,31216,38.89696,-77.00493,W00240
W00646,461,1/1/12 12:06,31014,38.897315,-77.070993,31217,38.9126,-77.0135,W00646
W00393,411,1/1/12 14:12,31215,38.90276,-77.03863,31218,38.884,-76.995397,W00393
W01073,385,1/2/12 22:32,31209,38.915417,-77.012289,31219,38.926088,-77.036536,W01073
W00686,458,1/2/12 19:19,31219,38.923203,-77.047637,31220,38.90276,-77.03863,W00686
W00591,338,1/2/12 9:11,31211,38.9008,-77.047,31221,38.900283,-77.029822,W00591
