End station #,LATITUDE,LONGITUDE
31000,38.920669,-77.04368
31001,38.912939,-77.032085
31002,38.922925,-77.042581
31003,38.9154,-77.0446
31004,38.8803,-76.9862
31005,38.91554,-77.03818
31006,38.917761,-77.04062
31007,38.878854,-77.005727
31008,38.900022,-76.988422
31009,38.897274,-76.994749
31010,38.9155,-77.0222
31011,38.899408,-77.015289
31012,38.90985,-77.034438
31013,38.920669,-77.04368
31014,38.898364,-77.027869
31015,38.8946,-77.072305
31016,38.916787,-77.028139
31017,38.905607,-77.027137
31018,38.91554,-77.03818
31019,38.936043,-77.024649
31020,38.9319,-77.0388
31021,38.89696,-77.00493
31022,38.905737,-77.02227
31023,38.9121,-77.0387
31024,38.905126,-77.056887
31025,38.912659,-77.017669
31026,38.9155,-77.0222
31027,38.90985,-77.034438
31028,38.8963,-77.045
31029,38.902221,-77.059219
31030,38.898364,-77.027869
31031,38.897315,-77.070993
31032,38.9121,-77.0387
31033,38.9121,-77.0387
31034,38.905996,-77.039802
31035,38.857866,-77.05949
31036,38.88412,-77.04657
31037,38.899972,-76.998347
31038,38.9308,-77.0315
31039,38.8767,-77.0178
31040,38.90985,-77.034438
31041,38.90985,-77.034438
31042,38.9154,-77.0446
31043,38.912659,-77.017669
31044,38.977093,-77.094589
31045,38.888767,-77.02858
31046,38.899972,-76.998347
31047,38.923203,-77.047637
31048,38.912719,-77.022155
31049,38.886952,-76.996806
31050,38.916787,-77.028139
31051,38.87501,-77.0024
31052,38.9101,-77.0444
31053,38.90304,-77.019027
31054,38.918809,-77.041571
31055,38.894851,-77.02324
31056,38.9154,-77.0446
31057,38.899703,-77.008911
31058,38.918155,-77.004746
31059,38.9101,-77.0444
31060,38.9176,-77.0321
31061,38.9308,-77.0315
31062,38.923203,-77.047637
31063,38.915417,-77.012289
31064,38.89593,-77.089006
31065,38.901539,-77.046564
31066,38.900412,-77.001949
31067,38.894832,-76.987633
31068,38.895914,-77.026064
31069,38.897195,-76.983575
31070,38.90276,-77.03863
31071,38.90088,-77.048911
31072,38.9308,-77.0315
31073,38.899972,-76.998347
31074,38.89696,-77.00493
31075,38.9154,-77.0446
31076,38.90534,-77.046774
31077,38.9268,-77.0322
31078,38.905996,-77.039802
31079,38.882788,-77.103148
31080,38.90276,-77.03863
31081,38.899408,-77.015289
31082,38.89968,-77.041539
31083,38.867373,-76.988039
31084,38.8997,-77.023086
31085,38.901539,-77.046564
31086,38.905067,-77.041779
31087,38.90093,-77.018677
31088,38.902061,-77.038322
31089,38.899703,-77.008911
31090,38.882915,-76.987907
31091,38.897222,-77.019347
31092,38.89593,-77.089006
31093,38.895914,-77.026064
31100,38.897332,-77.022292
31101,38.90985,-77.034438
31102,38.893028,-77.026013
31103,38.899408,-77.015289
31104,38.922925,-77.042581
31105,38.894514,-77.031617
31106,38.9319,-77.0388
31107,38.9319,-77.0388
31108,38.8767,-77.0178
31109,38.9155,-77.0222
31110,38.903407,-77.043648
31111,38.9172,-77.0259
31112,38.905126,-77.056887
31113,38.892275,-77.013917
31114,38.90093,-77.018677
31115,38.8952,-77.0436
31116,38.922649,-77.077271
31117,38.8692,-76.9599
31118,38.888767,-77.02858
31119,38.894573,-77.01994
31120,38.879819,-77.037413
31121,38.908905,-77.04478
31200,38.892275,-77.013917
31201,38.888767,-77.02858
31202,38.912939,-77.032085
31203,38.90985,-77.034438
31204,38.894573,-77.01994
31205,38.881044,-77.111768
31206,38.905126,-77.056887
31207,38.90849,-77.063586
31208,38.897332,-77.022292
31209,38.918809,-77.041571
31211,38.894851,-77.02324
31212,38.90375,-77.06269
31213,38.91554,-77.03818
31214,38.9121,-77.0387
31215,38.89696,-77.00493
31216,38.9024,-77.02622
31217,38.903584,-77.044789
31218,38.886266,-77.022241
31219,38.878854,-77.005727
31220,38.912939,-77.032085
31221,38.88412,-77.017445
31222,38.918809,-77.041571
31223,38.9059,-77.0325
31224,38.894832,-76.987633
31225,38.927872,-77.043358
31226,38.90304,-77.019027
31227,38.90093,-77.018677
31228,38.8997,-77.023086
31229,38.91554,-77.03818
31230,38.9176,-77.0321
31231,38.894573,-77.01994
31232,38.908142,-77.038359
31233,38.900022,-76.988422
31234,38.9057,-77.0056
31235,38.886266,-77.022241
31236,38.89696,-77.00493
31237,38.9086,-77.0323
31238,38.8803,-76.9862
31239,38.905996,-77.039802
31240,38.856425,-77.049232
31241,38.9268,-77.0322
31242,38.89968,-77.041539
31243,38.912659,-77.017669
31244,38.88412,-77.017445
31245,38.90276,-77.03863
31246,38.905126,-77.056887
31247,38.895914,-77.026064
31248,38.9057,-77.0056
31249,38.90276,-77.03863
31250,38.886266,-77.022241
31251,38.920669,-77.04368
31252,38.884,-76.995397
31253,38.886372,-77.017701
31254,38.905737,-77.02227
31255,38.8997,-77.023086
31256,38.888767,-77.02858
31257,38.891696,-77.0846
31258,38.92333,-77.0352
31259,38.91554,-77.03818
31260,38.908142,-77.038359
31261,38.884,-76.995397
31262,38.929464,-77.027822
31263,38.888767,-77.02858
31264,38.9101,-77.0444
31265,38.886978,-77.013769
31266,38.87887,-77.1207
31267,38.897446,-77.009888
31268,38.894919,-77.046587
31269,38.9101,-77.0444
31270,38.89696,-77.00493
31271,38.884,-76.995397
31272,38.921074,-77.031887
31273,38.9172,-77.0259
31274,38.8923,-77.0436
31275,38.894573,-77.01994
31276,38.899408,-77.015289
31277,38.897857,-77.026975
31278,38.903827,-77.053485
31300,38.90093,-77.018677
31301,38.89696,-77.00493
31302,38.934881,-77.072755
31303,38.888553,-77.032429
31304,38.912939,-77.032085
31305,38.9101,-77.0444
31306,38.922649,-77.077271
31307,38.89968,-77.041539
31308,38.943837,-77.077078
31309,38.881185,-77.001828
31310,38.884,-76.995397
31312,38.886978,-77.013769
31313,38.941154,-77.062036
31314,38.9003,-77.0429
31315,38.8533,-77.0498
31400,38.897332,-77.022292
31401,38.9101,-77.0444
31402,38.902061,-77.038322
31403,38.944551,-77.063896
31404,38.9059,-77.0325
31405,38.942016,-77.032652
31406,38.8904,-77.0889
31407,38.88397,-77.10783
31408,38.902204,-77.04337
31500,38.89696,-77.00493
31501,38.91554,-77.03818
31502,38.90276,-77.03863
31503,38.888767,-77.02858
31504,38.9155,-77.0222
31505,38.897222,-77.019347
31506,38.915417,-77.012289
31507,38.928743,-77.012457
31508,38.90276,-77.03863
31509,38.90985,-77.034438
31510,38.903407,-77.043648
31511,38.8767,-77.0178
31512,38.912939,-77.032085
31513,38.9121,-77.0387
31514,38.899972,-76.998347
31515,38.876737,-76.994468
31516,38.903827,-77.053485
31517,38.8997,-77.023086
31600,38.9024,-77.02622
31601,38.912659,-77.017669
31602,38.9308,-77.0315
31603,38.894573,-77.01994
31604,38.88412,-77.017445
31605,38.8851,-77.0023
31606,38.9126,-77.0135
31607,38.9059,-77.0325
31608,38.918809,-77.041571
31609,38.90849,-77.063586
31610,38.894573,-77.01994
31611,38.900412,-77.001949
31612,38.879819,-77.037413
31613,38.884,-76.995397
31614,38.895914,-77.026064
31615,38.902061,-77.038322
31616,38.90093,-77.018677
31617,38.888251,-77.049426
31618,38.9308,-77.0315
31619,38.9101,-77.0444
31620,38.898385,-77.031666
31621,38.903407,-77.043648
31622,38.947607,-77.079382
31623,38.89696,-77.00493
31624,38.888767,-77.02858
31625,38.897857,-77.026975
31626,38.9059,-77.0325
31627,38.9101,-77.0444
31628,38.9176,-77.0321
31629,38.886978,-77.013769
31630,38.900022,-76.988422
31631,38.894514,-77.031617
31632,38.880012,-77.107854
31633,38.8767,-77.0178
31634,38.814577,-77.052808
31635,38.90088,-77.048911
31636,38.90774,-77.071652
31637,38.900283,-77.029822
31638,38.884,-76.995397
31700,38.899972,-76.998347
31701,38.90985,-77.034438
31702,38.888553,-77.032429
31703,38.9101,-77.0444
31704,38.912719,-77.022155
31705,38.898364,-77.027869
31706,38.88412,-77.017445
31707,38.900413,-76.982872
31708,38.86559,-76.952103
31709,38.903827,-77.053485
31710,38.900412,-77.001949
31711,38.9059,-77.0325
31800,38.922925,-77.042581
31801,38.897446,-77.009888
31802,38.961763,-77.085998
31803,38.882915,-76.987907
31804,38.8851,-77.0023
31805,38.9057,-77.0056
31806,38.898385,-77.031666
31807,38.9059,-77.0325
32000,38.898385,-77.031666
32001,38.894851,-77.02324
32002,38.87501,-77.0024
32003,38.90276,-77.03863
32004,38.9086,-77.0323
32005,38.882915,-76.987907
32006,38.905126,-77.056887
32007,38.90304,-77.019027
32008,38.922925,-77.042581
32009,38.920669,-77.04368
32010,38.882915,-76.987907
32011,38.899632,-77.031686
32012,38.90985,-77.034438
32013,38.90849,-77.063586
32014,38.961763,-77.085998
32016,38.905737,-77.02227
32017,38.899408,-77.015289
32019,38.897222,-77.019347
32020,38.8997,-77.023086
32021,38.9101,-77.0444
32022,38.89696,-77.00493
32023,38.884,-76.995397
32024,38.894514,-77.031617
32025,38.899032,-77.033354
32026,38.922925,-77.042581
32027,38.90534,-77.046774
32028,38.902221,-77.059219
32029,38.905607,-77.027137
32030,38.90375,-77.06269
32031,38.9308,-77.0315
32032,39.076331,-77.141378
32033,38.892459,-77.046567
32034,38.9059,-77.0325
32035,38.884,-76.995397
32036,38.90547,-77.00213
32037,38.9319,-77.0388
32038,38.917622,-77.01597
32039,38.9176,-77.0321
32040,38.90547,-77.00213
32041,38.90547,-77.00213
32043,38.9154,-77.0446
32044,38.90509,-76.9941
32045,38.929464,-77.027822
32046,38.929464,-77.027822
32047,38.8946,-77.072305
32048,38.9059,-77.0325
32049,38.894919,-77.046587
