End station #,LATITUDE,LONGITUDE
31502,38.905996,-77.039802
31027,38.9172,-77.0259
31612,38.8851,-77.0023
31205,38.905607,-77.027137
31207,38.929464,-77.027822
31025,38.905996,-77.039802
31405,38.897332,-77.022292
31512,38.90534,-77.046774
31301,38.888767,-77.02858
31120,38.8997,-77.023086
31510,38.895914,-77.026064
31070,38.90849,-77.063586
31226,38.9101,-77.0444
31300,38.879819,-77.037413
31103,38.912648,-77.041834
32029,38.894514,-77.031617
31227,38.888553,-77.032429
31044,38.91554,-77.03818
31029,38.90304,-77.019027
31310,38.908905,-77.04478
31071,38.889988,-76.995193
31306,38.888767,-77.02858
31077,38.916787,-77.028139
32010,38.894941,-77.09169
31084,38.884,-76.995397
31004,38.903663,-77.067668
31092,38.902061,-77.038322
31063,38.897195,-76.983575
31086,38.922925,-77.042581
31037,38.898243,-77.026235
31807,38.885801,-77.097745
31069,38.900022,-76.988422
32014,38.984691,-77.094537
31635,38.888251,-77.049426
31067,38.9086,-77.0323
31504,38.882629,-77.109366
31403,38.930282,-77.055599
31516,38.8963,-77.045
31511,38.82175,-77.047494
32013,38.89841,-77.039624
31078,38.90304,-77.019027
31406,38.92333,-77.0352
31016,38.89968,-77.041539
31085,38.912719,-77.022155
31609,38.902221,-77.059219
31803,38.905737,-77.02227
32011,38.9176,-77.0321
31515,38.9155,-77.0222
31040,38.9308,-77.0315
31050,38.929464,-77.027822
32022,38.8792,-76.9953
31026,38.897446,-77.009888
31002,38.899632,-77.031686
32000,38.900412,-77.001949
31057,38.90985,-77.034438
31088,38.90849,-77.063586
31010,38.894832,-76.987633
31021,38.844015,-77.050537
32019,38.9154,-77.0446
31060,38.9101,-77.0444
31053,38.884,-76.995397
31075,38.8896,-76.9769
31020,38.897195,-76.983575
31801,38.804378,-77.060866
32008,38.929464,-77.027822
31041,38.9024,-77.02622
31036,38.8763,-77.0037
31513,38.9059,-77.0325
32044,38.92333,-77.0352
32033,38.90366,-77.034846
32043,38.89968,-77.041539
31066,38.902,-77.03353
31514,38.878433,-77.03023
31308,38.9155,-77.0222
31031,38.89696,-77.00493
31035,38.905126,-77.056887
31043,38.917761,-77.04062
31055,38.90276,-77.03863
31315,38.8997,-77.023086
31407,38.886266,-77.022241
31802,38.897222,-77.019347
31091,38.90276,-77.03863
32040,38.89841,-77.039624
31000,38.897446,-77.009888
31073,38.89696,-77.00493
32050,38.89696,-77.00493
32038,38.902,-77.03353
31700,38.902,-77.03353
31076,38.8963,-77.045
32046,38.90276,-77.03863
31049,38.892459,-77.046567
32020,38.886952,-76.996806
32023,38.848466,-77.051514
31804,38.903407,-77.043648
31082,38.886277,-77.028242
31008,38.894722,-77.045128
31054,38.89841,-77.039624
31019,38.901539,-77.046564
31309,38.90774,-77.071652
31094,38.886266,-77.022241
31805,38.8763,-77.0037
32021,38.9024,-77.02622
31056,38.902,-77.03353
32032,38.90304,-77.019027
32047,38.892275,-77.013917
31012,38.90276,-77.03863
31501,38.897293,-77.05557
32006,38.8923,-77.0436
32036,38.886952,-76.996806
31032,38.895914,-77.026064
32034,38.89968,-77.041539
32035,38.890612,-77.084801
32039,38.921074,-77.031887
31705,38.923583,-77.050046
31707,38.9101,-77.0444
31090,38.90093,-77.018677
31068,38.898385,-77.031666
31279,38.879819,-77.037413
32012,38.888251,-77.049426
32037,38.8533,-77.0498
31702,38.9154,-77.0446
32003,38.89968,-77.041539
32042,38.930282,-77.055599
32024,38.903407,-77.043648
32017,38.9101,-77.0444
31280,38.903819,-77.0284
31095,38.892275,-77.013917
31806,38.880705,-77.08596
31703,38.903827,-77.053485
31061,38.912719,-77.022155
32007,38.805648,-77.05293
31093,38.903827,-77.053485
31058,38.8767,-77.0178
31062,38.9024,-77.02622
31096,38.9003,-77.0429
31639,38.9154,-77.0446
32041,38.890612,-77.084801
31704,38.9121,-77.0387
32004,38.912939,-77.032085
