End Station,Latitude,Longitude
31275,38.89696,-77.00493
31276,38.8923,-77.0436
31277,38.9008,-77.047
31278,38.912648,-77.041834
31279,38.922925,-77.042581
31280,38.941154,-77.062036
31281,38.9126,-77.0135
31282,38.923203,-77.047637
31283,38.905607,-77.027137
31284,38.920669,-77.04368
31285,38.903819,-77.0284
31286,38.9101,-77.0444
31287,38.936043,-77.024649
31288,38.9155,-77.0222
31289,38.897332,-77.022292
31290,38.899972,-76.998347
31291,38.905737,-77.02227
31292,38.898385,-77.031666
31300,38.903407,-77.043648
31301,38.975,-77.01121
31302,38.9268,-77.0322
31303,38.894832,-76.987633
31304,38.902,-77.03353
31305,38.89696,-77.00493
31306,38.884,-76.995397
31307,38.880705,-77.08596
31308,38.90375,-77.06269
31309,38.9057,-77.0056
31310,38.9155,-77.0222
31312,38.90985,-77.034438
31313,38.90276,-77.03863
31314,38.903819,-77.0284
31315,38.888553,-77.032429
31316,38.921074,-77.031887
31317,38.898243,-77.026235
31318,38.89696,-77.00493
31319,38.89696,-77.00493
31400,38.880705,-77.08596
31401,38.895344,-77.016106
31402,38.91554,-77.03818
31403,38.899032,-77.033354
31404,38.89841,-77.039624
31405,38.888767,-77.02858
31406,38.899032,-77.033354
31407,38.879819,-77.037413
31408,38.9418,-77.0251
31411,38.926088,-77.036536
31412,38.90276,-77.03863
31500,38.919077,-77.000648
31501,38.90774,-77.071652
31502,38.90093,-77.018677
31503,38.9126,-77.0135
31504,38.932514,-76.992889
31505,38.886372,-77.017701
31506,38.8923,-77.0436
31507,38.912939,-77.032085
31508,38.9176,-77.0321
31509,38.903827,-77.053485
31510,38.9101,-77.0444
31511,38.888553,-77.032429
31512,38.90276,-77.03863
31513,38.897446,-77.009888
31514,38.912939,-77.032085
31515,38.86017,-77.049593
31516,38.886266,-77.022241
31517,38.943837,-77.077078
31518,38.899983,-76.991383
31519,38.898243,-77.026235
31520,38.90088,-77.048911
31600,38.892275,-77.013917
31601,38.894514,-77.031617
31602,38.896544,-76.96012
31603,38.9308,-77.0315
31604,38.90375,-77.06269
31605,38.923583,-77.050046
31606,38.9086,-77.0323
31607,38.908387,-76.996869
31608,38.9308,-77.0315
31609,38.900358,-77.012108
31610,38.900283,-77.029822
31611,38.9121,-77.0387
31612,38.894758,-76.997114
31613,38.908142,-77.038359
31614,38.89841,-77.039624
31615,38.90276,-77.03863
31616,38.936043,-77.024649
31617,38.928121,-77.023795
31618,38.929464,-77.027822
31619,38.897195,-76.983575
31620,38.897222,-77.019347
31621,38.893401,-77.085867
31622,38.90985,-77.034438
31623,38.89696,-77.00493
31624,38.89696,-77.00493
31625,38.90366,-77.034846
31626,38.9154,-77.0446
31627,38.90547,-77.00213
31628,38.89968,-77.041539
31629,38.903663,-77.067668
31630,38.91554,-77.03818
31631,38.8767,-77.0178
31632,38.894832,-76.987633
31633,38.887312,-77.025762
31634,38.857405,-77.051132
31635,38.900412,-77.001949
31636,38.921074,-77.031887
31637,38.805648,-77.05293
31638,38.896104,-77.049882
31639,38.9121,-77.0387
31640,38.896134,-76.9929
31641,38.894514,-77.031617
31642,38.894919,-77.046587
31643,38.9086,-77.0323
31644,38.8767,-77.0178
31700,38.9057,-77.0056
31701,38.898385,-77.031666
31702,38.893028,-77.026013
31703,38.917761,-77.04062
31704,38.905126,-77.056887
31705,38.922925,-77.042581
31706,38.8923,-77.0436
31707,38.905067,-77.041779
31708,38.905126,-77.056887
31709,38.908387,-76.996869
31710,38.927872,-77.043358
31711,38.9268,-77.0322
31712,38.9057,-77.0056
31713,38.90304,-77.019027
31714,38.896923,-77.086502
31800,38.90276,-77.03863
31801,38.89696,-77.00493
31802,38.90093,-77.018677
31803,38.88397,-77.10783
31804,38.903827,-77.053485
31805,38.917761,-77.04062
31806,38.884961,-77.08777
31807,38.9126,-77.0135
31811,38.930282,-77.055599
31812,38.905737,-77.02227
31900,38.897857,-77.026975
