Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
6023,2015-01-01 00:35:55,2015-01-01 02:16:19,31503,Florida Ave & R St NW,31508,Gallaudet / 8th St & Florida Ave NE,W00170,Member
717,2015-01-01 01:04:42,2015-01-01 01:16:40,31252,21st St & Pennsylvania Ave NW,31258,Lincoln Memorial,W20243,Member
654,2015-01-01 01:13:50,2015-01-01 01:24:44,31603,1st & M St NE,31632,15th & F St NE,W20217,Member
418,2015-01-01 01:17:19,2015-01-01 01:24:18,31104,Adams Mill & Columbia Rd NW,31119,14th & Belmont St NW,W00645,Member
110,2015-01-01 01:59:03,2015-01-01 02:00:54,31603,1st & M St NE,31603,1st & M St NE,W20703,Member
684,2015-01-01 10:05:57,2015-01-01 10:17:22,31200,Massachusetts Ave & Dupont Circle NW,31225,C & O Canal & Wisconsin Ave NW,W00239,Member
165,2015-01-01 10:26:22,2015-01-01 10:29:07,31255,24th & N St NW,31246,M St & Pennsylvania Ave NW,W20883,Member
1713,2015-01-01 10:35:01,2015-01-01 11:03:34,31229,New Hampshire Ave & T St NW,31628,1st & K St SE,W00782,Member
721,2015-01-01 11:09:32,2015-01-01 11:21:34,31505,Eckington Pl & Q St NE,31214,17th & Corcoran St NW,W01479,Member
6890,2015-01-01 11:19:08,2015-01-01 13:13:59,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W20378,Casual
1194,2015-01-01 11:44:35,2015-01-01 12:04:30,31237,25th St & Pennsylvania Ave NW,31229,New Hampshire Ave & T St NW,W21399,Casual
739,2015-01-01 11:52:49,2015-01-01 12:05:08,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31258,Lincoln Memorial,W20242,Casual
699,2015-01-01 11:59:59,2015-01-01 12:11:38,31265,5th St & Massachusetts Ave NW,31108,4th & M St SW,W01364,Member
1676,2015-01-01 12:34:26,2015-01-01 13:02:23,31616,3rd & H St NE,31627,3rd & M St NE,W20703,Member
1225,2015-01-01 12:43:38,2015-01-01 13:04:04,31204,20th & E St NW,31231,14th & D St NW / Ronald Reagan Building,W20197,Casual
417,2015-01-01 13:10:46,2015-01-01 13:17:43,31100,19th St & Pennsylvania Ave NW,31260,23rd & E St NW ,W01336,Member
