Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
265,2015-10-01 06:03:57,2015-10-01 06:08:22,31217,USDA / 12th & Independence Ave SW,31219,10th St & Constitution Ave NW,W21091,Member
589,2015-10-01 06:10:36,2015-10-01 06:20:25,31229,New Hampshire Ave & T St NW,31225,C & O Canal & Wisconsin Ave NW,W21928,Member
394,2015-10-01 06:37:13,2015-10-01 06:43:48,31107,Lamont & Mt Pleasant NW,31101,14th & V St NW,W21958,Member
766,2015-10-01 06:42:53,2015-10-01 06:55:40,31207,Georgia Ave and Fairmont St NW,31219,10th St & Constitution Ave NW,W21878,Member
157,2015-10-01 06:53:37,2015-10-01 06:56:14,31807,Pleasant St & MLK Ave SE,31801,Anacostia Metro,W01048,Member
246,2015-10-01 06:55:41,2015-10-01 06:59:48,31606,Potomac & Pennsylvania Ave SE,31635,Potomac Ave & 8th St SE,W20083,Member
401,2015-10-01 07:03:32,2015-10-01 07:10:14,31242,18th St & Pennsylvania Ave NW,31228,8th & H St NW,W21825,Member
998,2015-10-01 07:08:25,2015-10-01 07:25:04,31627,3rd & M St NE,31507,1st & Washington Hospital Center NW,W00185,Member
448,2015-10-01 07:19:27,2015-10-01 07:26:55,31605,3rd & D St SE,31616,3rd & H St NE,W00494,Member
334,2015-10-01 07:21:42,2015-10-01 07:27:17,31120,10th & Florida Ave NW,31115,Columbia Rd & Georgia Ave NW,W20925,Member
449,2015-10-01 07:24:08,2015-10-01 07:31:38,31119,14th & Belmont St NW,31110,20th St & Florida Ave NW,W00283,Member
884,2015-10-01 08:02:13,2015-10-01 08:16:57,31623,Columbus Circle / Union Station,31233,17th & K St NW / Farragut Square,W21077,Member
259,2015-10-01 08:35:37,2015-10-01 08:39:56,31233,17th & K St NW / Farragut Square,31205,21st & I St NW,W21467,Member
933,2015-10-01 08:36:00,2015-10-01 08:51:33,31270,8th & D St NW,31203,14th & Rhode Island Ave NW,W00807,Member
864,2015-10-01 08:42:53,2015-10-01 08:57:17,31236,37th & O St NW / Georgetown University,31213,17th & K St NW,W20134,Member
429,2015-10-01 09:03:32,2015-10-01 09:10:41,31032,Washington Blvd & 7th St N,31022,Clarendon Metro / Wilson Blvd & N Highland St,W01500,Member
1494,2015-10-01 09:05:22,2015-10-01 09:30:16,31089,Court House Metro / 15th & N Uhle St ,31271,Constitution Ave & 2nd St NW/DOL,W20258,Member
400,2015-10-01 09:07:04,2015-10-01 09:13:44,31250,20th & L St NW,31204,20th & E St NW,W21506,Member
301,2015-10-01 09:32:01,2015-10-01 09:37:03,31116,California St & Florida Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W20865,Member
671,2015-10-01 09:39:50,2015-10-01 09:51:02,31241,Thomas Circle,31274,10th & G St NW,W20262,Casual
455,2015-10-01 10:25:43,2015-10-01 10:33:18,31014,Lynn & 19th St North,31215,Georgetown Harbor / 30th St NW,W21511,Member
320,2015-10-01 10:29:24,2015-10-01 10:34:45,31268,12th & U St NW,31203,14th & Rhode Island Ave NW,w01100,Member
64,2015-10-01 11:47:10,2015-10-01 11:48:15,31119,14th & Belmont St NW,31101,14th & V St NW,W21897,Member
788,2015-10-01 12:34:16,2015-10-01 12:47:25,31202,14th & R St NW,31275,New Hampshire Ave & 24th St NW,W00668,Member
187,2015-10-01 12:49:07,2015-10-01 12:52:14,31627,3rd & M St NE,31639,2nd & G St NE,W21256,Member
415,2015-10-01 12:51:32,2015-10-01 12:58:28,31109,7th & T St NW,31239,Rhode Island & Connecticut Ave NW,W22116,Member
165,2015-10-01 13:01:40,2015-10-01 13:04:26,32048,Bethesda Metro,32008,Cordell & Norfolk Ave,W22155,Member
252,2015-10-01 13:10:51,2015-10-01 13:15:03,31619,Lincoln Park / 13th & East Capitol St NE ,31611,13th & H St NE,W20180,Member
165,2015-10-01 14:21:34,2015-10-01 14:24:20,31089,Court House Metro / 15th & N Uhle St ,31050,Barton St & 10th St N,W00467,Member
1559,2015-10-01 14:38:05,2015-10-01 15:04:05,31263,10th & K St NW,31272,Washington & Independence Ave SW/HHS,W21684,Casual
396,2015-10-01 14:56:05,2015-10-01 15:02:41,31001,18th & Eads St.,31011,23rd & Crystal Dr,W00946,Member
592,2015-10-01 15:03:05,2015-10-01 15:12:57,31208,M St & New Jersey Ave SE,31623,Columbus Circle / Union Station,W01379,Member
484,2015-10-01 15:09:48,2015-10-01 15:17:53,31229,New Hampshire Ave & T St NW,31105,14th & Harvard St NW,W21374,Member
168,2015-10-01 15:55:27,2015-10-01 15:58:16,31508,Gallaudet / 8th St & Florida Ave NE,31508,Gallaudet / 8th St & Florida Ave NE,W21941,Member
694,2015-10-01 16:00:19,2015-10-01 16:11:54,31218,L'Enfant Plaza / 7th & C St SW,31619,Lincoln Park / 13th & East Capitol St NE ,W21466,Member
341,2015-10-01 16:07:30,2015-10-01 16:13:12,31087,Monroe Ave & Leslie Ave,31047,Braddock Rd Metro,W21931,Member
569,2015-10-01 16:17:33,2015-10-01 16:27:03,31222,New York Ave & 15th St NW,31600,5th & K St NW,W22130,Member
140,2015-10-01 16:32:29,2015-10-01 16:34:50,31121,Calvert St & Woodley Pl NW,31106,Calvert & Biltmore St NW,W00631,Member
363,2015-10-01 16:51:27,2015-10-01 16:57:31,31612,D St & Maryland Ave NE,31621,4th & D St NW / Judiciary Square,W21240,Member
333,2015-10-01 16:58:17,2015-10-01 17:03:51,31103,16th & Harvard St NW,31101,14th & V St NW,W21257,Member
1955,2015-10-01 17:01:08,2015-10-01 17:33:44,31249,Jefferson Memorial,31056,S Troy St & 26th St S,W21732,Member
408,2015-10-01 17:08:14,2015-10-01 17:15:03,31600,5th & K St NW,31603,1st & M St NE,W21961,Member
916,2015-10-01 17:15:29,2015-10-01 17:30:46,31260,23rd & E St NW ,31077,Iwo Jima Memorial/N Meade & 14th St N,W00438,Member
152,2015-10-01 17:20:01,2015-10-01 17:22:33,31101,14th & V St NW,31119,14th & Belmont St NW,W21997,Member
992,2015-10-01 17:30:35,2015-10-01 17:47:08,31216,14th St & New York Ave NW,31503,Florida Ave & R St NW,W20739,Member
1120,2015-10-01 17:35:58,2015-10-01 17:54:38,31256,10th & E St NW,31632,15th & F St NE,W21879,Casual
1426,2015-10-01 17:38:48,2015-10-01 18:02:34,31224,19th & L St NW,31512,Neal St & Trinidad Ave NE,W00087,Member
1778,2015-10-01 17:43:04,2015-10-01 18:12:42,31242,18th St & Pennsylvania Ave NW,31606,Potomac & Pennsylvania Ave SE,W00361,Member
779,2015-10-01 17:45:01,2015-10-01 17:58:00,31078,Arlington Blvd & S George Mason Dr/NFATC,31023,Fairfax Dr & Wilson Blvd,W20349,Member
934,2015-10-01 17:46:16,2015-10-01 18:01:51,31277,17th & G St NW,31108,4th & M St SW,W21980,Member
804,2015-10-01 17:53:55,2015-10-01 18:07:20,31213,17th & K St NW,31103,16th & Harvard St NW,W20412,Member
151,2015-10-01 17:57:06,2015-10-01 17:59:38,31202,14th & R St NW,31101,14th & V St NW,W20569,Member
700,2015-10-01 18:02:04,2015-10-01 18:13:45,31014,Lynn & 19th St North,31205,21st & I St NW,W21871,Member
517,2015-10-01 18:03:10,2015-10-01 18:11:47,31215,Georgetown Harbor / 30th St NW,31014,Lynn & 19th St North,W00561,Member
851,2015-10-01 18:05:07,2015-10-01 18:19:19,31205,21st & I St NW,31223,Convention Center / 7th & M St NW,W21399,Member
720,2015-10-01 18:08:45,2015-10-01 18:20:45,31259,20th St & Virginia Ave NW,31230,Metro Center / 12th & G St NW,W22193,Member
496,2015-10-01 18:22:06,2015-10-01 18:30:23,31200,Massachusetts Ave & Dupont Circle NW,31257,22nd & I St NW / Foggy Bottom,W00417,Member
1463,2015-10-01 18:31:16,2015-10-01 18:55:39,31205,21st & I St NW,31623,Columbus Circle / Union Station,W21996,Member
1435,2015-10-01 18:34:21,2015-10-01 18:58:16,31217,USDA / 12th & Independence Ave SW,31500,4th & W St NE,W00619,Member
783,2015-10-01 18:46:26,2015-10-01 18:59:29,31203,14th & Rhode Island Ave NW,31506,1st & Rhode Island Ave NW,W01457,Member
327,2015-10-01 18:49:04,2015-10-01 18:54:31,31232,7th & F St NW / National Portrait Gallery,31271,Constitution Ave & 2nd St NW/DOL,W22202,Member
435,2015-10-01 19:08:44,2015-10-01 19:16:00,31630,15th & East Capitol St NE,31617,Bladensburg Rd & Benning Rd NE,W20825,Member
388,2015-10-01 19:18:04,2015-10-01 19:24:33,31117,15th & Euclid St  NW,31101,14th & V St NW,W00460,Member
488,2015-10-01 20:19:09,2015-10-01 20:27:17,31266,11th & M St NW,31603,1st & M St NE,W20601,Member
488,2015-10-01 20:35:37,2015-10-01 20:43:46,31201,15th & P St NW,31116,California St & Florida Ave NW,W21283,Member
1484,2015-10-01 20:37:18,2015-10-01 21:02:02,31603,1st & M St NE,31228,8th & H St NW,W20825,Casual
563,2015-10-01 20:41:09,2015-10-01 20:50:32,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31209,1st & N St  SE,W21976,Member
669,2015-10-01 21:15:21,2015-10-01 21:26:30,31265,5th St & Massachusetts Ave NW,31203,14th & Rhode Island Ave NW,W21180,Member
1725,2015-10-01 21:15:33,2015-10-01 21:44:19,31627,3rd & M St NE,31108,4th & M St SW,W20204,Member
1108,2015-10-01 21:38:55,2015-10-01 21:57:23,31200,Massachusetts Ave & Dupont Circle NW,31400,Georgia & New Hampshire Ave NW,W01359,Member
987,2015-10-01 21:52:59,2015-10-01 22:09:26,31262,11th & F St NW,31602,Park Rd & Holmead Pl NW,W20692,Member
854,2015-10-01 22:14:33,2015-10-01 22:28:47,31201,15th & P St NW,31112,Harvard St & Adams Mill Rd NW,W20445,Member
233,2015-10-01 22:42:26,2015-10-01 22:46:20,31623,Columbus Circle / Union Station,31615,6th & H St NE,W21449,Member
839,2015-10-01 23:33:09,2015-10-01 23:47:09,31107,Lamont & Mt Pleasant NW,31201,15th & P St NW,W20679,Member
372,2015-10-02 01:06:19,2015-10-02 01:12:32,31623,Columbus Circle / Union Station,31627,3rd & M St NE,W00930,Casual
504,2015-10-02 07:56:08,2015-10-02 08:04:33,31119,14th & Belmont St NW,31221,18th & M St NW,W22044,Member
364,2015-10-02 07:56:59,2015-10-02 08:03:04,31119,14th & Belmont St NW,31241,Thomas Circle,W00872,Member
1214,2015-10-02 08:00:45,2015-10-02 08:20:59,31308,39th & Veazey St NW,31250,20th & L St NW,W21311,Member
390,2015-10-02 08:05:14,2015-10-02 08:11:45,31101,14th & V St NW,31200,Massachusetts Ave & Dupont Circle NW,W00363,Member
1005,2015-10-02 08:41:05,2015-10-02 08:57:51,31107,Lamont & Mt Pleasant NW,31220,US Dept of State / Virginia Ave & 21st St NW,W20973,Member
225,2015-10-02 08:47:35,2015-10-02 08:51:20,31010,S Glebe & Potomac Ave,31009,27th & Crystal Dr,W21858,Member
1431,2015-10-02 08:52:06,2015-10-02 09:15:58,31218,L'Enfant Plaza / 7th & C St SW,31212,21st & M St NW,W01196,Member
908,2015-10-02 09:23:58,2015-10-02 09:39:06,31118,3rd & Elm St NW,31227,13th St & New York Ave NW,W22193,Member
725,2015-10-02 09:25:26,2015-10-02 09:37:31,31260,23rd & E St NW ,31216,14th St & New York Ave NW,W21691,Member
281,2015-10-02 09:32:56,2015-10-02 09:37:38,31200,Massachusetts Ave & Dupont Circle NW,31212,21st & M St NW,W20560,Member
319,2015-10-02 11:21:59,2015-10-02 11:27:19,31801,Anacostia Metro,31803,Good Hope Rd & 14th St SE,W20157,Member
879,2015-10-02 11:46:00,2015-10-02 12:00:40,31307,3000 Connecticut Ave NW / National Zoo,31246,M St & Pennsylvania Ave NW,W00611,Member
428,2015-10-02 13:11:12,2015-10-02 13:18:20,31239,Rhode Island & Connecticut Ave NW,31238,14th & G St NW,W21382,Member
271,2015-10-02 13:34:58,2015-10-02 13:39:30,31604,3rd & H St NW,31228,8th & H St NW,W00959,Member
984,2015-10-02 13:38:11,2015-10-02 13:54:35,31627,3rd & M St NE,31502,John McCormack Dr & Michigan Ave NE,W21790,Member
318,2015-10-02 15:08:05,2015-10-02 15:13:23,31623,Columbus Circle / Union Station,31614,11th & H St NE,W00991,Member
478,2015-10-02 16:39:27,2015-10-02 16:47:25,31603,1st & M St NE,31265,5th St & Massachusetts Ave NW,W00225,Member
902,2015-10-02 17:16:32,2015-10-02 17:31:35,31270,8th & D St NW,31623,Columbus Circle / Union Station,W00219,Member
440,2015-10-02 17:27:11,2015-10-02 17:34:31,31272,Washington & Independence Ave SW/HHS,31608,8th & Eye St SE / Barracks Row,W01191,Member
444,2015-10-02 17:29:05,2015-10-02 17:36:29,31220,US Dept of State / Virginia Ave & 21st St NW,31222,New York Ave & 15th St NW,W00699,Member
379,2015-10-02 17:45:35,2015-10-02 17:51:55,31623,Columbus Circle / Union Station,31611,13th & H St NE,W20793,Member
596,2015-10-02 17:50:13,2015-10-02 18:00:09,31624,North Capitol St & F St NW,31223,Convention Center / 7th & M St NW,W20905,Member
708,2015-10-02 17:57:03,2015-10-02 18:08:52,31638,1st & H St NW,31503,Florida Ave & R St NW,W01332,Member
628,2015-10-02 18:01:45,2015-10-02 18:12:13,31234,20th & O St NW / Dupont South,31201,15th & P St NW,W20567,Member
234,2015-10-02 18:04:11,2015-10-02 18:08:05,31089,Court House Metro / 15th & N Uhle St ,31079,Lee Hwy & N Cleveland St,W20643,Member
1281,2015-10-02 18:41:08,2015-10-02 19:02:29,31637,North Capitol St & G Pl NE,31237,25th St & Pennsylvania Ave NW,W01110,Member
350,2015-10-02 18:51:14,2015-10-02 18:57:05,31607,14th & D St SE,31610,Eastern Market / 7th & North Carolina Ave SE,W21399,Member
370,2015-10-02 18:56:57,2015-10-02 19:03:07,31241,Thomas Circle,31234,20th & O St NW / Dupont South,W20598,Member
501,2015-10-02 20:04:53,2015-10-02 20:13:15,31302,Wisconsin Ave & Newark St NW,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,W00845,Casual
384,2015-10-02 20:09:51,2015-10-02 20:16:15,31622,13th & D St NE,31607,14th & D St SE,W22098,Member
135,2015-10-02 23:02:30,2015-10-02 23:04:46,31202,14th & R St NW,31203,14th & Rhode Island Ave NW,W00383,Member
735,2015-10-03 01:57:02,2015-10-03 02:09:17,31202,14th & R St NW,31204,20th & E St NW,W20797,Member
445,2015-10-03 06:51:35,2015-10-03 06:59:01,31266,11th & M St NW,31101,14th & V St NW,W21284,Member
205,2015-10-03 08:42:54,2015-10-03 08:46:20,31113,Columbia Rd & Belmont St NW,31103,16th & Harvard St NW,W21094,Member
166,2015-10-03 09:18:21,2015-10-03 09:21:07,31021,Clarendon Blvd & N Fillmore St,31089,Court House Metro / 15th & N Uhle St ,W01421,Member
514,2015-10-03 10:00:03,2015-10-03 10:08:38,31022,Clarendon Metro / Wilson Blvd & N Highland St,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,W21787,Member
828,2015-10-03 10:17:36,2015-10-03 10:31:24,31202,14th & R St NW,31229,New Hampshire Ave & T St NW,W00678,Member
4394,2015-10-03 10:23:00,2015-10-03 11:36:15,31232,7th & F St NW / National Portrait Gallery,31277,17th & G St NW,W01408,Casual
782,2015-10-03 10:42:04,2015-10-03 10:55:07,31118,3rd & Elm St NW,31278,18th & R St NW,W21364,Member
367,2015-10-03 10:48:08,2015-10-03 10:54:16,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W01126,Member
234,2015-10-03 11:01:13,2015-10-03 11:05:07,31119,14th & Belmont St NW,31202,14th & R St NW,W21779,Member
237,2015-10-03 11:01:42,2015-10-03 11:05:39,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W00975,Member
285,2015-10-03 11:41:11,2015-10-03 11:45:57,31266,11th & M St NW,31201,15th & P St NW,W20652,Member
217,2015-10-03 11:55:53,2015-10-03 11:59:30,31229,New Hampshire Ave & T St NW,31239,Rhode Island & Connecticut Ave NW,W01301,Member
323,2015-10-03 12:02:18,2015-10-03 12:07:42,31239,Rhode Island & Connecticut Ave NW,31254,15th & K St NW,W20185,Member
372,2015-10-03 12:37:30,2015-10-03 12:43:43,31623,Columbus Circle / Union Station,31627,3rd & M St NE,W21845,Casual
647,2015-10-03 12:40:29,2015-10-03 12:51:16,31503,Florida Ave & R St NW,31214,17th & Corcoran St NW,W01332,Member
660,2015-10-03 12:44:03,2015-10-03 12:55:03,31229,New Hampshire Ave & T St NW,31102,11th & Kenyon St NW,W00111,Member
2157,2015-10-03 13:08:03,2015-10-03 13:44:01,31258,Lincoln Memorial,31262,11th & F St NW,W20446,Casual
370,2015-10-03 13:20:49,2015-10-03 13:26:59,31616,3rd & H St NE,31517,Union Market/6th St & Neal Pl NE,W20096,Member
713,2015-10-03 13:21:46,2015-10-03 13:33:39,31237,25th St & Pennsylvania Ave NW,31236,37th & O St NW / Georgetown University,W01403,Member
599,2015-10-03 13:24:30,2015-10-03 13:34:30,31509,New Jersey Ave & R St NW,31229,New Hampshire Ave & T St NW,W01320,Member
329,2015-10-03 13:32:41,2015-10-03 13:38:10,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31628,1st & K St SE,W21405,Member
453,2015-10-03 13:49:27,2015-10-03 13:57:00,31265,5th St & Massachusetts Ave NW,31623,Columbus Circle / Union Station,W20121,Member
1103,2015-10-03 13:49:47,2015-10-03 14:08:11,31236,37th & O St NW / Georgetown University,31213,17th & K St NW,W21456,Member
394,2015-10-03 13:50:36,2015-10-03 13:57:10,31104,Adams Mill & Columbia Rd NW,31307,3000 Connecticut Ave NW / National Zoo,W00652,Member
391,2015-10-03 13:53:04,2015-10-03 13:59:36,31119,14th & Belmont St NW,31602,Park Rd & Holmead Pl NW,W21606,Member
1377,2015-10-03 13:54:01,2015-10-03 14:16:59,31247,Jefferson Dr & 14th St SW,31261,21st St & Constitution Ave NW,W21862,Casual
685,2015-10-03 14:00:44,2015-10-03 14:12:10,31116,California St & Florida Ave NW,31109,7th & T St NW,W00231,Member
462,2015-10-03 14:05:22,2015-10-03 14:13:05,31101,14th & V St NW,31251,12th & L St NW,W20515,Member
360,2015-10-03 14:05:26,2015-10-03 14:11:26,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31628,1st & K St SE,W00855,Member
3324,2015-10-03 14:51:43,2015-10-03 15:47:07,31222,New York Ave & 15th St NW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W00916,Casual
