Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
899,2016-07-01 05:22:32,2016-07-01 05:37:31,31047,Braddock Rd Metro,31044,King St & Patrick St,W00411,Member
151,2016-07-01 06:46:59,2016-07-01 06:49:30,31114,18th St & Wyoming Ave NW,31110,20th St & Florida Ave NW,W21836,Member
854,2016-07-01 07:11:00,2016-07-01 07:25:14,31265,5th St & Massachusetts Ave NW,31257,22nd & I St NW / Foggy Bottom,W00674,Member
566,2016-07-01 07:18:25,2016-07-01 07:27:51,31109,7th & T St NW,31278,18th & R St NW,W21273,Member
642,2016-07-01 07:39:56,2016-07-01 07:50:38,31208,M St & New Jersey Ave SE,31244,4th & E St SW,W20908,Member
456,2016-07-01 07:52:37,2016-07-01 08:00:13,31014,Lynn & 19th St North,31089,Court House Metro / 15th & N Uhle St ,W21757,Member
598,2016-07-01 08:02:41,2016-07-01 08:12:39,31122,16th & Irving St NW,31200,Massachusetts Ave & Dupont Circle NW,W00203,Member
2247,2016-07-01 08:11:28,2016-07-01 08:48:55,31080,Lee Hwy & N Scott St,31242,18th St & Pennsylvania Ave NW,W20589,Casual
1665,2016-07-01 08:18:11,2016-07-01 08:45:57,31258,Lincoln Memorial,31200,Massachusetts Ave & Dupont Circle NW,W22603,Member
990,2016-07-01 08:26:23,2016-07-01 08:42:53,31275,New Hampshire Ave & 24th St NW,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W21721,Member
1025,2016-07-01 08:30:58,2016-07-01 08:48:03,31637,North Capitol St & G Pl NE,31203,14th & Rhode Island Ave NW,W01113,Member
761,2016-07-01 08:44:11,2016-07-01 08:56:52,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31212,21st & M St NW,W21008,Member
849,2016-07-01 08:46:30,2016-07-01 09:00:40,31108,4th & M St SW,31219,10th St & Constitution Ave NW,W01333,Member
431,2016-07-01 08:48:56,2016-07-01 08:56:08,31280,11th & S St NW,31283,14th & L St NW,W20414,Member
686,2016-07-01 08:52:32,2016-07-01 09:03:58,31612,D St & Maryland Ave NE,31228,8th & H St NW,W20356,Member
939,2016-07-01 08:57:33,2016-07-01 09:13:13,32051,Connecticut Ave & Chevy Chase Lake Dr,32000,Norfolk Ave & Fairmont St,W21115,Member
455,2016-07-01 09:23:21,2016-07-01 09:30:57,31059,S Four Mile Run & Walter Reed Dr,31062,S George Mason Dr & 13th St S,W22183,Member
386,2016-07-01 09:28:12,2016-07-01 09:34:38,31513,Rhode Island Ave & V St NE,31245,7th & R St NW / Shaw Library,W20866,Member
194,2016-07-01 09:44:58,2016-07-01 09:48:13,31400,Georgia & New Hampshire Ave NW,31602,Park Rd & Holmead Pl NW,W00034,Member
1746,2016-07-01 10:08:25,2016-07-01 10:37:31,31213,17th & K St NW,31211,Kennedy Center,W21993,Casual
186,2016-07-01 10:20:06,2016-07-01 10:23:12,31250,20th & L St NW,31252,21st St & Pennsylvania Ave NW,W21505,Casual
507,2016-07-01 10:24:54,2016-07-01 10:33:21,31006,S Joyce & Army Navy Dr,31011,23rd & Crystal Dr,W21374,Member
1719,2016-07-01 10:38:52,2016-07-01 11:07:31,31225,C & O Canal & Wisconsin Ave NW,31077,Iwo Jima Memorial/N Meade & 14th St N,W22599,Casual
6574,2016-07-01 10:42:38,2016-07-01 12:32:12,31235,19th St & Constitution Ave NW,31241,Thomas Circle,W22371,Casual
443,2016-07-01 10:48:29,2016-07-01 10:55:53,31275,New Hampshire Ave & 24th St NW,31312,Wisconsin Ave & O St NW,W21461,Member
4105,2016-07-01 10:49:09,2016-07-01 11:57:35,31637,North Capitol St & G Pl NE,31284,18th & C St NW,W22043,Casual
361,2016-07-01 10:52:59,2016-07-01 10:59:01,31277,17th & G St NW,31224,19th & L St NW,W00654,Member
2448,2016-07-01 10:59:17,2016-07-01 11:40:05,31271,Constitution Ave & 2nd St NW/DOL,31621,4th & D St NW / Judiciary Square,W20073,Casual
2744,2016-07-01 11:26:08,2016-07-01 12:11:53,31219,10th St & Constitution Ave NW,31258,Lincoln Memorial,W21546,Casual
1101,2016-07-01 11:35:12,2016-07-01 11:53:34,31102,11th & Kenyon St NW,31104,Adams Mill & Columbia Rd NW,W21172,Casual
390,2016-07-01 11:36:40,2016-07-01 11:43:10,31108,4th & M St SW,31634,3rd & Tingey St SE,W22010,Member
684,2016-07-01 12:12:24,2016-07-01 12:23:48,31624,North Capitol St & F St NW,31251,12th & L St NW,W00307,Member
516,2016-07-01 12:13:30,2016-07-01 12:22:06,31279,19th & G St NW,31201,15th & P St NW,W21283,Member
3161,2016-07-01 12:16:02,2016-07-01 13:08:44,31249,Jefferson Memorial,31269,3rd St & Pennsylvania Ave SE,W20547,Casual
184,2016-07-01 12:20:05,2016-07-01 12:23:09,31269,3rd St & Pennsylvania Ave SE,31610,Eastern Market / 7th & North Carolina Ave SE,W20825,Member
657,2016-07-01 12:36:36,2016-07-01 12:47:34,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31273,Hains Point/Buckeye & Ohio Dr SW,W22599,Member
2931,2016-07-01 12:50:43,2016-07-01 13:39:34,31113,Columbia Rd & Belmont St NW,31275,New Hampshire Ave & 24th St NW,W01043,Casual
873,2016-07-01 12:54:53,2016-07-01 13:09:26,31222,New York Ave & 15th St NW,31214,17th & Corcoran St NW,W20581,Casual
499,2016-07-01 12:57:30,2016-07-01 13:05:49,31201,15th & P St NW,31227,13th St & New York Ave NW,W22482,Member
792,2016-07-01 12:59:43,2016-07-01 13:12:56,31207,Georgia Ave and Fairmont St NW,31213,17th & K St NW,W00476,Member
438,2016-07-01 13:13:09,2016-07-01 13:20:27,31246,M St & Pennsylvania Ave NW,31213,17th & K St NW,W21644,Member
3193,2016-07-01 13:18:23,2016-07-01 14:11:37,31249,Jefferson Memorial,31211,Kennedy Center,W22072,Member
