Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
844,2016-04-01 00:00:56,2016-04-01 00:15:00,31247,Jefferson Dr & 14th St SW,31623,Columbus Circle / Union Station,W20351,Casual
3086,2016-04-01 00:02:53,2016-04-01 00:54:20,31261,21st St & Constitution Ave NW,31249,Jefferson Memorial,W00287,Casual
243,2016-04-01 03:19:06,2016-04-01 03:23:10,31213,17th & K St NW,31200,Massachusetts Ave & Dupont Circle NW,W21334,Member
518,2016-04-01 06:37:44,2016-04-01 06:46:23,31636,New Jersey Ave & N St NW/Dunbar HS,31203,14th & Rhode Island Ave NW,W00692,Member
92,2016-04-01 07:01:13,2016-04-01 07:02:46,31119,14th & Belmont St NW,31101,14th & V St NW,W20341,Member
806,2016-04-01 07:10:57,2016-04-01 07:24:24,31600,5th & K St NW,31267,17th St & Massachusetts Ave NW,W00414,Member
354,2016-04-01 07:23:47,2016-04-01 07:29:41,31247,Jefferson Dr & 14th St SW,31261,21st St & Constitution Ave NW,W20610,Member
813,2016-04-01 07:34:40,2016-04-01 07:48:13,31265,5th St & Massachusetts Ave NW,31267,17th St & Massachusetts Ave NW,W01035,Member
381,2016-04-01 07:37:24,2016-04-01 07:43:46,32008,Cordell & Norfolk Ave,32048,Bethesda Metro,W00909,Member
1206,2016-04-01 08:10:05,2016-04-01 08:30:11,31231,14th & D St NW / Ronald Reagan Building,31003,15th & Crystal Dr,W01187,Member
447,2016-04-01 08:11:00,2016-04-01 08:18:27,31257,22nd & I St NW / Foggy Bottom,31260,23rd & E St NW ,W00773,Member
464,2016-04-01 08:11:49,2016-04-01 08:19:34,31611,13th & H St NE,31623,Columbus Circle / Union Station,W00662,Member
512,2016-04-01 08:12:54,2016-04-01 08:21:27,31116,California St & Florida Ave NW,31255,24th & N St NW,W20657,Member
324,2016-04-01 08:18:59,2016-04-01 08:24:23,31079,Lee Hwy & N Cleveland St,31089,Court House Metro / 15th & N Uhle St ,W00691,Member
175,2016-04-01 08:20:09,2016-04-01 08:23:05,31509,New Jersey Ave & R St NW,31245,7th & R St NW / Shaw Library,W22218,Member
225,2016-04-01 08:23:57,2016-04-01 08:27:43,31619,Lincoln Park / 13th & East Capitol St NE ,31610,Eastern Market / 7th & North Carolina Ave SE,W00881,Member
425,2016-04-01 08:26:59,2016-04-01 08:34:04,31213,17th & K St NW,31259,20th St & Virginia Ave NW,W21264,Member
502,2016-04-01 08:32:16,2016-04-01 08:40:38,31610,Eastern Market / 7th & North Carolina Ave SE,31623,Columbus Circle / Union Station,W00881,Member
673,2016-04-01 08:50:09,2016-04-01 09:01:22,31107,Lamont & Mt Pleasant NW,31233,17th & K St NW / Farragut Square,W20388,Member
1032,2016-04-01 09:26:47,2016-04-01 09:43:59,31251,12th & L St NW,31269,3rd St & Pennsylvania Ave SE,W20236,Member
286,2016-04-01 09:28:51,2016-04-01 09:33:37,31234,20th & O St NW / Dupont South,31255,24th & N St NW,W20173,Member
125,2016-04-01 09:41:30,2016-04-01 09:43:36,31604,3rd & H St NW,31624,North Capitol St & F St NW,W00641,Member
778,2016-04-01 09:44:11,2016-04-01 09:57:09,31237,25th St & Pennsylvania Ave NW,31251,12th & L St NW,W20980,Member
319,2016-04-01 09:46:37,2016-04-01 09:51:56,31623,Columbus Circle / Union Station,31615,6th & H St NE,W21304,Member
721,2016-04-01 10:15:56,2016-04-01 10:27:57,31229,New Hampshire Ave & T St NW,31257,22nd & I St NW / Foggy Bottom,W00882,Member
365,2016-04-01 10:46:32,2016-04-01 10:52:37,31268,12th & U St NW,31281,8th & O St NW,W01420,Member
315,2016-04-01 11:16:55,2016-04-01 11:22:11,31278,18th & R St NW,31224,19th & L St NW,W21893,Member
328,2016-04-01 11:24:35,2016-04-01 11:30:03,31114,18th St & Wyoming Ave NW,31103,16th & Harvard St NW,W21905,Member
336,2016-04-01 11:24:39,2016-04-01 11:30:16,31222,New York Ave & 15th St NW,31252,21st St & Pennsylvania Ave NW,W00214,Member
2226,2016-04-01 11:27:37,2016-04-01 12:04:44,31312,Wisconsin Ave & O St NW,31215,Georgetown Harbor / 30th St NW,W21121,Member
905,2016-04-01 11:28:40,2016-04-01 11:43:45,31219,10th St & Constitution Ave NW,31271,Constitution Ave & 2nd St NW/DOL,W00326,Casual
640,2016-04-01 11:40:44,2016-04-01 11:51:24,31101,14th & V St NW,31221,18th & M St NW,W21054,Member
283,2016-04-01 11:44:53,2016-04-01 11:49:37,31227,13th St & New York Ave NW,31232,7th & F St NW / National Portrait Gallery,W00642,Member
73,2016-04-01 12:15:00,2016-04-01 12:16:14,31623,Columbus Circle / Union Station,31639,2nd & G St NE,W20406,Member
926,2016-04-01 12:23:01,2016-04-01 12:38:28,31267,17th St & Massachusetts Ave NW,31505,Eckington Pl & Q St NE,W21405,Member
815,2016-04-01 12:32:29,2016-04-01 12:46:04,31229,New Hampshire Ave & T St NW,31211,Kennedy Center,W20320,Member
1997,2016-04-01 12:36:30,2016-04-01 13:09:48,31269,3rd St & Pennsylvania Ave SE,31203,14th & Rhode Island Ave NW,W20398,Casual
2016,2016-04-01 12:42:06,2016-04-01 13:15:43,31258,Lincoln Memorial,31258,Lincoln Memorial,W00508,Member
284,2016-04-01 12:47:47,2016-04-01 12:52:31,31267,17th St & Massachusetts Ave NW,31233,17th & K St NW / Farragut Square,W20079,Casual
5711,2016-04-01 12:48:24,2016-04-01 14:23:36,31231,14th & D St NW / Ronald Reagan Building,31212,21st & M St NW,W01078,Casual
6819,2016-04-01 12:56:26,2016-04-01 14:50:06,31204,20th & E St NW,31230,Metro Center / 12th & G St NW,W00121,Casual
256,2016-04-01 13:03:30,2016-04-01 13:07:46,31228,8th & H St NW,31216,14th St & New York Ave NW,W22090,Member
503,2016-04-01 13:06:20,2016-04-01 13:14:43,31254,15th & K St NW,31245,7th & R St NW / Shaw Library,W20593,Member
693,2016-04-01 13:06:46,2016-04-01 13:18:20,31221,18th & M St NW,31237,25th St & Pennsylvania Ave NW,W20961,Member
1266,2016-04-01 13:24:32,2016-04-01 13:45:39,31247,Jefferson Dr & 14th St SW,31258,Lincoln Memorial,W00252,Casual
1131,2016-04-01 13:29:37,2016-04-01 13:48:28,31102,11th & Kenyon St NW,31213,17th & K St NW,W01212,Member
4169,2016-04-01 13:32:06,2016-04-01 14:41:35,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31263,10th & K St NW,W00696,Casual
4347,2016-04-01 13:42:29,2016-04-01 14:54:56,31258,Lincoln Memorial,31277,17th & G St NW,W01283,Casual
4343,2016-04-01 13:43:55,2016-04-01 14:56:19,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31264,6th St & Indiana Ave NW,W01257,Casual
3362,2016-04-01 13:50:03,2016-04-01 14:46:06,31277,17th & G St NW,31218,L'Enfant Plaza / 7th & C St SW,W22102,Casual
