Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
303,2016-01-01 00:35:34,2016-01-01 00:40:37,31513,Rhode Island Ave & V St NE,31516,Rhode Island Ave Metro,W21375,Member
794,2016-01-01 00:38:49,2016-01-01 00:52:04,31114,18th St & Wyoming Ave NW,31600,5th & K St NW,W22213,Member
547,2016-01-01 01:06:36,2016-01-01 01:15:43,31281,8th & O St NW,31110,20th St & Florida Ave NW,W21606,Member
531,2016-01-01 02:04:14,2016-01-01 02:13:05,31222,New York Ave & 15th St NW,31265,5th St & Massachusetts Ave NW,W00051,Casual
565,2016-01-01 05:04:52,2016-01-01 05:14:17,31254,15th & K St NW,31257,22nd & I St NW / Foggy Bottom,W20773,Member
859,2016-01-01 08:52:59,2016-01-01 09:07:19,31257,22nd & I St NW / Foggy Bottom,31609,Maine Ave & 7th St SW,W00433,Member
757,2016-01-01 09:28:28,2016-01-01 09:41:06,31633,Independence Ave & L'Enfant Plaza SW/DOE,31258,Lincoln Memorial,W01288,Casual
502,2016-01-01 09:43:23,2016-01-01 09:51:45,31406,14th & Upshur St NW,31407,14th St & Colorado Ave NW,W21755,Member
921,2016-01-01 09:51:37,2016-01-01 10:06:58,31622,13th & D St NE,31228,8th & H St NW,W20862,Member
3310,2016-01-01 11:01:44,2016-01-01 11:56:55,31258,Lincoln Memorial,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W21580,Casual
491,2016-01-01 11:59:16,2016-01-01 12:07:28,31111,10th & U St NW,31229,New Hampshire Ave & T St NW,W20975,Member
163,2016-01-01 12:43:20,2016-01-01 12:46:03,31021,Clarendon Blvd & N Fillmore St,31089,Court House Metro / 15th & N Uhle St ,W22016,Member
1594,2016-01-01 12:52:00,2016-01-01 13:18:34,31258,Lincoln Memorial,31616,3rd & H St NE,W20793,Member
226,2016-01-01 12:54:58,2016-01-01 12:58:45,31105,14th & Harvard St NW,31104,Adams Mill & Columbia Rd NW,W01370,Member
391,2016-01-01 13:19:30,2016-01-01 13:26:01,31503,Florida Ave & R St NW,31202,14th & R St NW,W00845,Member
315,2016-01-01 13:21:16,2016-01-01 13:26:32,31616,3rd & H St NE,31612,D St & Maryland Ave NE,W20783,Member
3208,2016-01-01 13:31:06,2016-01-01 14:24:34,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31258,Lincoln Memorial,W20122,Casual
238,2016-01-01 13:47:55,2016-01-01 13:51:53,31636,New Jersey Ave & N St NW/Dunbar HS,31600,5th & K St NW,W21357,Member
1245,2016-01-01 13:53:21,2016-01-01 14:14:06,31230,Metro Center / 12th & G St NW,31212,21st & M St NW,W20130,Member
361,2016-01-01 13:58:15,2016-01-01 14:04:17,31214,17th & Corcoran St NW,31110,20th St & Florida Ave NW,W22194,Member
363,2016-01-01 14:01:31,2016-01-01 14:07:34,31114,18th St & Wyoming Ave NW,31105,14th & Harvard St NW,W21771,Member
2056,2016-01-01 14:09:39,2016-01-01 14:43:56,31246,M St & Pennsylvania Ave NW,31307,3000 Connecticut Ave NW / National Zoo,W20220,Casual
4393,2016-01-01 14:22:34,2016-01-01 15:35:47,31047,Braddock Rd Metro,31047,Braddock Rd Metro,W21023,Casual
