Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,Year
487,1/1/2012 12:54,1/1/2012 13:02,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W01270,Member,2012
492,1/1/2012 12:57,1/1/2012 13:05,31223,Convention Center / 7th & M St NW,31200,Massachusetts Ave & Dupont Circle NW,W00306,Member,2012
11984,1/1/2012 13:10,1/1/2012 16:30,31100,19th St & Pennsylvania Ave NW,31100,19th St & Pennsylvania Ave NW,W01093,Casual,2012
616,1/1/2012 13:20,1/1/2012 13:30,31113,Columbia Rd & Belmont St NW,31203,14th & Rhode Island Ave NW,W00049,Member,2012
1621,1/1/2012 13:22,1/1/2012 13:49,31241,Thomas Circle,31610,Eastern Market / 7th & North Carolina Ave SE,W00279,Member,2012
3844,1/1/2012 13:27,1/1/2012 14:31,31008,12th & Army Navy Dr,31008,12th & Army Navy Dr,W00882,Casual,2012
2876,1/1/2012 13:35,1/1/2012 14:23,31001,18th & Eads St.,31225,C & O Canal & Wisconsin Ave NW,W00721,Casual,2012
704,1/1/2012 13:37,1/1/2012 13:49,31400,Georgia & New Hampshire Ave NW,31101,14th & V St NW,W00499,Member,2012
2921,1/1/2012 14:00,1/1/2012 14:49,31205,21st & I St NW,31005,Pentagon City Metro / 12th & S Hayes St,W01312,Casual,2012
636,1/1/2012 14:04,1/1/2012 14:15,31200,Massachusetts Ave & Dupont Circle NW,31246,M St & Pennsylvania Ave NW,W00672,Casual,2012
411,1/1/2012 14:06,1/1/2012 14:12,31230,Metro Center / 12th & G St NW,31213,17th & K St NW,W00393,Member,2012
8681,1/1/2012 14:15,1/1/2012 16:40,31217,USDA / 12th & Independence Ave SW,31231,14th & D St NW / Ronald Reagan Building,W00526,Casual,2012
825,1/1/2012 14:28,1/1/2012 14:42,31241,Thomas Circle,31105,14th & Harvard St NW,W00305,Member,2012
1951,1/1/2012 14:41,1/1/2012 15:13,31626,15th St & Massachusetts Ave SE,31102,11th & Kenyon St NW,W00561,Casual,2012
3029,1/1/2012 14:45,1/1/2012 15:36,31217,USDA / 12th & Independence Ave SW,31217,USDA / 12th & Independence Ave SW,W00087,Casual,2012
1320,1/1/2012 14:53,1/1/2012 15:15,31201,15th & P St NW,31217,USDA / 12th & Independence Ave SW,W00288,Member,2012
2507,1/1/2012 15:14,1/1/2012 15:56,31610,Eastern Market / 7th & North Carolina Ave SE,31215,Georgetown Harbor / 30th St NW,W01071,Member,2012
1505,1/1/2012 15:40,1/1/2012 16:05,31625,3rd & G St SE,31241,Thomas Circle,W00923,Member,2012
2926,1/1/2012 15:40,1/1/2012 16:29,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31500,4th & W St NE,W00801,Casual,2012
572,1/1/2012 16:04,1/1/2012 16:14,31218,L'Enfant Plaza / 7th & C St SW,31600,5th & K St NW,W00175,Member,2012
670,1/1/2012 16:06,1/1/2012 16:17,31232,7th & F St NW / National Portrait Gallery,31230,Metro Center / 12th & G St NW,W00379,Casual,2012
403,1/1/2012 16:06,1/1/2012 16:12,31229,New Hampshire Ave & T St NW,31212,21st & M St NW,W00996,Member,2012
201,1/1/2012 16:13,1/1/2012 16:16,31606,Potomac & Pennsylvania Ave SE,31608,8th & Eye St SE / Barracks Row,W00324,Member,2012
910,1/1/2012 16:25,1/1/2012 16:40,31205,21st & I St NW,31110,20th St & Florida Ave NW,W00231,Member,2012
411,1/1/2012 16:28,1/1/2012 16:35,31616,3rd & H St NE,31603,1st & M St NE,W01283,Casual,2012
2222,1/1/2012 16:32,1/1/2012 17:09,31500,4th & W St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W01255,Casual,2012
2736,1/1/2012 16:36,1/1/2012 17:22,31230,Metro Center / 12th & G St NW,31212,21st & M St NW,W00983,Casual,2012
164,1/1/2012 16:44,1/1/2012 16:47,31626,15th St & Massachusetts Ave SE,31607,14th & D St SE,W00735,Member,2012
1814,1/1/2012 17:16,1/1/2012 17:46,31605,3rd & D St SE,31620,5th & F St NW,W01094,Casual,2012
351,1/1/2012 18:39,1/1/2012 18:44,31404,9th & Upshur St NW,31602,Park Rd & Holmead Pl NW,W00266,Member,2012
1408,1/1/2012 18:47,1/1/2012 19:10,31225,C & O Canal & Wisconsin Ave NW,31623,Columbus Circle / Union Station,W00238,Member,2012
918,1/1/2012 19:25,1/1/2012 19:40,31602,Park Rd & Holmead Pl NW,31224,19th & L St NW,W01234,Member,2012
342,1/1/2012 19:35,1/1/2012 19:41,31229,New Hampshire Ave & T St NW,31200,Massachusetts Ave & Dupont Circle NW,W01310,Member,2012
336,1/1/2012 20:56,1/1/2012 21:02,31103,16th & Harvard St NW,31116,California St & Florida Ave NW,W00786,Member,2012
481,1/1/2012 22:03,1/1/2012 22:11,31624,North Capitol St & F St NW,31614,11th & H St NE,W00868,Member,2012
492,1/1/2012 22:31,1/1/2012 22:39,31109,7th & T St NW,31229,New Hampshire Ave & T St NW,W00815,Member,2012
372,1/2/2012 0:24,1/2/2012 0:30,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31302,Wisconsin Ave & Newark St NW,W00029,Member,2012
163,1/2/2012 0:47,1/2/2012 0:49,31619,Lincoln Park / 13th & East Capitol St NE ,31607,14th & D St SE,W01187,Member,2012
192,1/2/2012 6:21,1/2/2012 6:24,31618,4th & East Capitol St NE,31625,3rd & G St SE,W00007,Member,2012
338,1/2/2012 9:05,1/2/2012 9:11,31302,Wisconsin Ave & Newark St NW,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,W00591,Member,2012
275,1/2/2012 10:18,1/2/2012 10:23,31213,17th & K St NW,31205,21st & I St NW,W01054,Member,2012
598,1/2/2012 11:20,1/2/2012 11:30,31203,14th & Rhode Island Ave NW,31237,25th St & Pennsylvania Ave NW,W00409,Member,2012
1992,1/2/2012 11:26,1/2/2012 11:59,31102,11th & Kenyon St NW,31244,4th & E St SW,W00628,Member,2012
859,1/2/2012 11:28,1/2/2012 11:43,31305,Connecticut Ave & Newark St NW / Cleveland Park,31214,17th & Corcoran St NW,W00139,Member,2012
733,1/2/2012 11:32,1/2/2012 11:44,31104,Adams Mill & Columbia Rd NW,31225,C & O Canal & Wisconsin Ave NW,W00166,Casual,2012
616,1/2/2012 11:41,1/2/2012 11:52,31300,Van Ness Metro / UDC,31301,Ward Circle / American University,W00544,Member,2012
453,1/2/2012 11:45,1/2/2012 11:53,31611,13th & H St NE,31623,Columbus Circle / Union Station,W01136,Member,2012
425,1/2/2012 12:13,1/2/2012 12:20,31212,21st & M St NW,31246,M St & Pennsylvania Ave NW,W01284,Member,2012
314,1/2/2012 12:27,1/2/2012 12:32,31101,14th & V St NW,31201,15th & P St NW,W01052,Member,2012
1055,1/2/2012 12:54,1/2/2012 13:11,31404,9th & Upshur St NW,31101,14th & V St NW,W00539,Member,2012
829,1/2/2012 13:04,1/2/2012 13:17,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W01250,Member,2012
2270,1/2/2012 13:38,1/2/2012 14:16,31107,Lamont & Mt Pleasant NW,31246,M St & Pennsylvania Ave NW,W00947,Casual,2012
599,1/2/2012 14:18,1/2/2012 14:28,31201,15th & P St NW,31107,Lamont & Mt Pleasant NW,W01070,Member,2012
339,1/2/2012 14:25,1/2/2012 14:31,31604,3rd & H St NW,31623,Columbus Circle / Union Station,W00832,Member,2012
373,1/2/2012 14:38,1/2/2012 14:44,31102,11th & Kenyon St NW,31101,14th & V St NW,W00864,Member,2012
680,1/2/2012 14:56,1/2/2012 15:07,31204,20th & E St NW,31230,Metro Center / 12th & G St NW,W00772,Member,2012
261,1/2/2012 14:58,1/2/2012 15:02,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31607,14th & D St SE,W01031,Member,2012
506,1/2/2012 16:29,1/2/2012 16:37,31111,10th & U St NW,31600,5th & K St NW,W00538,Member,2012
897,1/2/2012 16:33,1/2/2012 16:48,31603,1st & M St NE,31608,8th & Eye St SE / Barracks Row,W00240,Member,2012
607,1/2/2012 16:34,1/2/2012 16:44,31605,3rd & D St SE,31607,14th & D St SE,W00805,Member,2012
362,1/2/2012 16:55,1/2/2012 17:01,31623,Columbus Circle / Union Station,31622,13th & D St NE,W00045,Member,2012
473,1/2/2012 17:26,1/2/2012 17:34,31622,13th & D St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W00122,Member,2012
142,1/2/2012 17:52,1/2/2012 17:54,31602,Park Rd & Holmead Pl NW,31102,11th & Kenyon St NW,W00826,Member,2012
674,1/2/2012 18:27,1/2/2012 18:38,31228,8th & H St NW,31238,14th & G St NW,W00166,Member,2012
429,1/2/2012 18:41,1/2/2012 18:48,31602,Park Rd & Holmead Pl NW,31104,Adams Mill & Columbia Rd NW,W01227,Member,2012
415,1/2/2012 19:11,1/2/2012 19:18,31237,25th St & Pennsylvania Ave NW,31214,17th & Corcoran St NW,W00202,Member,2012
458,1/2/2012 19:12,1/2/2012 19:19,31604,3rd & H St NW,31241,Thomas Circle,W00686,Member,2012
571,1/2/2012 19:59,1/2/2012 20:08,31200,Massachusetts Ave & Dupont Circle NW,31106,Calvert & Biltmore St NW,W01268,Member,2012
416,1/2/2012 20:09,1/2/2012 20:16,31605,3rd & D St SE,31208,M St & New Jersey Ave SE,W01172,Member,2012
589,1/2/2012 20:12,1/2/2012 20:22,31230,Metro Center / 12th & G St NW,31241,Thomas Circle,W00772,Casual,2012
466,1/2/2012 20:12,1/2/2012 20:20,31623,Columbus Circle / Union Station,31610,Eastern Market / 7th & North Carolina Ave SE,W00136,Member,2012
934,1/2/2012 20:17,1/2/2012 20:32,31213,17th & K St NW,31214,17th & Corcoran St NW,W00100,Member,2012
1074,1/2/2012 20:50,1/2/2012 21:08,31100,19th St & Pennsylvania Ave NW,31609,Maine Ave & 7th St SW,W01351,Member,2012
324,1/2/2012 21:37,1/2/2012 21:43,31214,17th & Corcoran St NW,31101,14th & V St NW,W01330,Member,2012
301,1/2/2012 21:55,1/2/2012 22:01,31203,14th & Rhode Island Ave NW,31223,Convention Center / 7th & M St NW,W01073,Member,2012
294,1/2/2012 22:12,1/2/2012 22:17,31221,18th & M St NW,31214,17th & Corcoran St NW,W00077,Member,2012
385,1/2/2012 22:25,1/2/2012 22:32,31223,Convention Center / 7th & M St NW,31221,18th & M St NW,W01073,Member,2012
681,1/3/2012 2:13,1/3/2012 2:25,31615,6th & H St NE,31506,1st & Rhode Island Ave NW,W00805,Member,2012
742,1/3/2012 6:43,1/3/2012 6:55,31107,Lamont & Mt Pleasant NW,31100,19th St & Pennsylvania Ave NW,W00702,Member,2012
339,1/3/2012 7:22,1/3/2012 7:28,31302,Wisconsin Ave & Newark St NW,31305,Connecticut Ave & Newark St NW / Cleveland Park,W01125,Member,2012
1326,1/3/2012 7:37,1/3/2012 7:59,31107,Lamont & Mt Pleasant NW,31211,Kennedy Center,W00539,Member,2012
1287,1/3/2012 8:26,1/3/2012 8:47,31504,10th & Monroe St NE,31610,Eastern Market / 7th & North Carolina Ave SE,W00042,Member,2012
933,1/3/2012 8:38,1/3/2012 8:53,31111,10th & U St NW,31623,Columbus Circle / Union Station,W00639,Member,2012
983,1/3/2012 8:56,1/3/2012 9:12,31506,1st & Rhode Island Ave NW,31233,17th & K St NW / Farragut Square,W00525,Member,2012
1003,1/3/2012 8:59,1/3/2012 9:16,31218,L'Enfant Plaza / 7th & C St SW,31224,19th & L St NW,W01247,Member,2012
483,1/3/2012 9:09,1/3/2012 9:17,31109,7th & T St NW,31228,8th & H St NW,W00848,Member,2012
296,1/3/2012 9:15,1/3/2012 9:20,31203,14th & Rhode Island Ave NW,31213,17th & K St NW,W00711,Member,2012
454,1/3/2012 9:24,1/3/2012 9:31,31238,14th & G St NW,31224,19th & L St NW,W00034,Member,2012
802,1/3/2012 9:53,1/3/2012 10:06,31606,Potomac & Pennsylvania Ave SE,31616,3rd & H St NE,W00383,Member,2012
166,1/3/2012 10:10,1/3/2012 10:13,31101,14th & V St NW,31202,14th & R St NW,W00191,Member,2012
438,1/3/2012 11:21,1/3/2012 11:29,31233,17th & K St NW / Farragut Square,31201,15th & P St NW,W01234,Member,2012
443,1/3/2012 11:58,1/3/2012 12:06,31230,Metro Center / 12th & G St NW,31224,19th & L St NW,W00276,Member,2012
426,1/3/2012 12:26,1/3/2012 12:33,31610,Eastern Market / 7th & North Carolina Ave SE,31623,Columbus Circle / Union Station,W01244,Member,2012
1422,1/3/2012 12:32,1/3/2012 12:55,31000,Eads St & 15th St S,31205,21st & I St NW,W00789,Member,2012
604,1/3/2012 12:47,1/3/2012 12:57,31201,15th & P St NW,31212,21st & M St NW,W01094,Member,2012
150,1/3/2012 13:34,1/3/2012 13:37,31111,10th & U St NW,31101,14th & V St NW,W00921,Member,2012
526,1/3/2012 14:00,1/3/2012 14:09,31107,Lamont & Mt Pleasant NW,31110,20th St & Florida Ave NW,W00801,Member,2012
1025,1/3/2012 14:03,1/3/2012 14:20,31102,11th & Kenyon St NW,31225,C & O Canal & Wisconsin Ave NW,W01028,Member,2012
347,1/3/2012 15:21,1/3/2012 15:27,31222,New York Ave & 15th St NW,31228,8th & H St NW,W00357,Member,2012
430,1/3/2012 16:11,1/3/2012 16:18,31213,17th & K St NW,31223,Convention Center / 7th & M St NW,W00680,Member,2012
304,1/3/2012 16:54,1/3/2012 16:59,31620,5th & F St NW,31624,North Capitol St & F St NW,W00157,Member,2012
796,1/3/2012 17:07,1/3/2012 17:20,31213,17th & K St NW,31229,New Hampshire Ave & T St NW,W01279,Member,2012
343,1/3/2012 17:16,1/3/2012 17:22,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W00259,Member,2012
224,1/3/2012 17:24,1/3/2012 17:28,31203,14th & Rhode Island Ave NW,31202,14th & R St NW,W00186,Member,2012
404,1/3/2012 17:33,1/3/2012 17:40,31215,Georgetown Harbor / 30th St NW,31205,21st & I St NW,W00516,Member,2012
680,1/3/2012 17:34,1/3/2012 17:46,31241,Thomas Circle,31105,14th & Harvard St NW,W00658,Member,2012
782,1/3/2012 17:54,1/3/2012 18:07,31603,1st & M St NE,31619,Lincoln Park / 13th & East Capitol St NE ,W00714,Member,2012
138,1/3/2012 17:54,1/3/2012 17:56,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W01270,Member,2012
599,1/3/2012 17:55,1/3/2012 18:05,31238,14th & G St NW,31202,14th & R St NW,W01011,Member,2012
569,1/3/2012 18:02,1/3/2012 18:12,31218,L'Enfant Plaza / 7th & C St SW,31625,3rd & G St SE,W00015,Member,2012
868,1/3/2012 18:21,1/3/2012 18:36,31212,21st & M St NW,31109,7th & T St NW,W00368,Member,2012
776,1/3/2012 18:36,1/3/2012 18:49,31623,Columbus Circle / Union Station,31619,Lincoln Park / 13th & East Capitol St NE ,W01183,Member,2012
878,1/3/2012 18:39,1/3/2012 18:54,31100,19th St & Pennsylvania Ave NW,31604,3rd & H St NW,W01295,Member,2012
223,1/3/2012 18:46,1/3/2012 18:50,31103,16th & Harvard St NW,31105,14th & Harvard St NW,W00247,Member,2012
177,1/3/2012 18:52,1/3/2012 18:55,31618,4th & East Capitol St NE,31610,Eastern Market / 7th & North Carolina Ave SE,W00618,Member,2012
322,1/3/2012 19:04,1/3/2012 19:09,31229,New Hampshire Ave & T St NW,31201,15th & P St NW,W00173,Member,2012
458,1/3/2012 19:12,1/3/2012 19:20,31227,13th St & New York Ave NW,31224,19th & L St NW,W00665,Member,2012
1109,1/3/2012 20:17,1/3/2012 20:36,31605,3rd & D St SE,31223,Convention Center / 7th & M St NW,W01456,Member,2012
487,1/3/2012 20:47,1/3/2012 20:55,31201,15th & P St NW,31109,7th & T St NW,W00045,Member,2012
655,1/3/2012 20:53,1/3/2012 21:04,31230,Metro Center / 12th & G St NW,31214,17th & Corcoran St NW,W00443,Member,2012
298,1/3/2012 21:34,1/3/2012 21:39,31011,23rd & Crystal Dr,31010,S Glebe & Potomac Ave,W00344,Member,2012
224,1/3/2012 21:36,1/3/2012 21:39,31245,7th & R St NW / Shaw Library,31202,14th & R St NW,W00649,Member,2012
187,1/3/2012 21:45,1/3/2012 21:48,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00880,Member,2012
561,1/4/2012 1:26,1/4/2012 1:35,31202,14th & R St NW,31602,Park Rd & Holmead Pl NW,W01254,Member,2012
238,1/4/2012 7:52,1/4/2012 7:56,31619,Lincoln Park / 13th & East Capitol St NE ,31618,4th & East Capitol St NE,W01215,Member,2012
558,1/4/2012 7:59,1/4/2012 8:08,31625,3rd & G St SE,31616,3rd & H St NE,W01190,Member,2012
765,1/4/2012 8:02,1/4/2012 8:15,31502,John McCormack Dr & Michigan Ave NE,31603,1st & M St NE,W00698,Member,2012
890,1/4/2012 8:17,1/4/2012 8:32,31241,Thomas Circle,31241,Thomas Circle,W00797,Member,2012
608,1/4/2012 8:21,1/4/2012 8:31,31109,7th & T St NW,31238,14th & G St NW,W01367,Member,2012
610,1/4/2012 8:25,1/4/2012 8:35,31113,Columbia Rd & Belmont St NW,31224,19th & L St NW,W00754,Member,2012
104,1/4/2012 8:34,1/4/2012 8:36,31016,Clarendon Blvd & Pierce St,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,W01128,Member,2012
793,1/4/2012 8:38,1/4/2012 8:52,31241,Thomas Circle,31204,20th & E St NW,W00797,Casual,2012
162,1/4/2012 8:45,1/4/2012 8:48,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31608,8th & Eye St SE / Barracks Row,W01233,Member,2012
549,1/4/2012 8:49,1/4/2012 8:58,31233,17th & K St NW / Farragut Square,31246,M St & Pennsylvania Ave NW,W01251,Member,2012
560,1/4/2012 8:50,1/4/2012 8:59,31108,4th & M St SW,31620,5th & F St NW,W00481,Member,2012
884,1/4/2012 8:51,1/4/2012 9:06,31401,14th St & Spring Rd NW,31233,17th & K St NW / Farragut Square,W00368,Member,2012
771,1/4/2012 8:51,1/4/2012 9:04,31103,16th & Harvard St NW,31215,Georgetown Harbor / 30th St NW,W00607,Member,2012
484,1/4/2012 8:59,1/4/2012 9:07,31201,15th & P St NW,31231,14th & D St NW / Ronald Reagan Building,W01210,Member,2012
242,1/4/2012 9:04,1/4/2012 9:08,31213,17th & K St NW,31241,Thomas Circle,W01458,Member,2012
426,1/4/2012 9:06,1/4/2012 9:13,31110,20th St & Florida Ave NW,31212,21st & M St NW,W00292,Member,2012
84,1/4/2012 10:13,1/4/2012 10:14,31246,M St & Pennsylvania Ave NW,31237,25th St & Pennsylvania Ave NW,W00083,Member,2012
188,1/4/2012 10:17,1/4/2012 10:21,31241,Thomas Circle,31227,13th St & New York Ave NW,W00979,Member,2012
781,1/4/2012 10:25,1/4/2012 10:38,31503,Florida Ave & R St NW,31239,Rhode Island & Connecticut Ave NW,W00374,Member,2012
2174,1/4/2012 10:54,1/4/2012 11:30,31624,North Capitol St & F St NW,31235,19th St & Constitution Ave NW,W01365,Casual,2012
175,1/4/2012 12:38,1/4/2012 12:41,31221,18th & M St NW,31212,21st & M St NW,W01267,Member,2012
545,1/4/2012 14:56,1/4/2012 15:05,31620,5th & F St NW,31618,4th & East Capitol St NE,W01235,Member,2012
276,1/4/2012 14:57,1/4/2012 15:01,31216,14th St & New York Ave NW,31241,Thomas Circle,W00584,Member,2012
610,1/4/2012 15:40,1/4/2012 15:50,31217,USDA / 12th & Independence Ave SW,31623,Columbus Circle / Union Station,W00725,Member,2012
254,1/4/2012 15:56,1/4/2012 16:00,31802,Good Hope Rd & MLK Ave SE,31801,Anacostia Metro,W00540,Member,2012
403,1/4/2012 15:58,1/4/2012 16:05,31231,14th & D St NW / Ronald Reagan Building,31228,8th & H St NW,W01355,Member,2012
1233,1/4/2012 16:04,1/4/2012 16:25,31620,5th & F St NW,31104,Adams Mill & Columbia Rd NW,W00532,Member,2012
599,1/4/2012 16:34,1/4/2012 16:43,31111,10th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W00289,Member,2012
778,1/4/2012 16:34,1/4/2012 16:47,31231,14th & D St NW / Ronald Reagan Building,31108,4th & M St SW,W00494,Member,2012
501,1/4/2012 16:35,1/4/2012 16:44,31610,Eastern Market / 7th & North Carolina Ave SE,31611,13th & H St NE,W00911,Member,2012
108,1/4/2012 16:39,1/4/2012 16:40,31003,15th & Crystal Dr,31007,Crystal City Metro / 18th & Bell St,W01278,Member,2012
749,1/4/2012 16:46,1/4/2012 16:59,31218,L'Enfant Plaza / 7th & C St SW,31623,Columbus Circle / Union Station,W00261,Member,2012
234,1/4/2012 17:05,1/4/2012 17:09,31620,5th & F St NW,31600,5th & K St NW,W00705,Member,2012
377,1/4/2012 17:13,1/4/2012 17:19,31233,17th & K St NW / Farragut Square,31231,14th & D St NW / Ronald Reagan Building,W00496,Member,2012
543,1/4/2012 17:17,1/4/2012 17:26,31241,Thomas Circle,31245,7th & R St NW / Shaw Library,W01399,Member,2012
808,1/4/2012 17:25,1/4/2012 17:38,31242,18th St & Pennsylvania Ave NW,31600,5th & K St NW,W00523,Member,2012
2216,1/4/2012 17:27,1/4/2012 18:04,31217,USDA / 12th & Independence Ave SW,31618,4th & East Capitol St NE,W00843,Casual,2012
278,1/4/2012 17:27,1/4/2012 17:32,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31619,Lincoln Park / 13th & East Capitol St NE ,W00303,Member,2012
1108,1/4/2012 17:34,1/4/2012 17:52,31231,14th & D St NW / Ronald Reagan Building,31112,Harvard St & Adams Mill Rd NW,W00438,Member,2012
1701,1/4/2012 17:34,1/4/2012 18:02,31213,17th & K St NW,31619,Lincoln Park / 13th & East Capitol St NE ,W00892,Member,2012
244,1/4/2012 17:35,1/4/2012 17:39,31623,Columbus Circle / Union Station,31615,6th & H St NE,W00261,Member,2012
473,1/4/2012 17:43,1/4/2012 17:51,31206,19th & E Street NW,31227,13th St & New York Ave NW,W00345,Member,2012
415,1/4/2012 17:52,1/4/2012 17:59,31204,20th & E St NW,31200,Massachusetts Ave & Dupont Circle NW,W01365,Member,2012
907,1/4/2012 18:03,1/4/2012 18:18,31206,19th & E Street NW,31108,4th & M St SW,W00244,Member,2012
321,1/4/2012 18:05,1/4/2012 18:11,31106,Calvert & Biltmore St NW,31103,16th & Harvard St NW,W01376,Member,2012
594,1/4/2012 18:13,1/4/2012 18:23,31101,14th & V St NW,31503,Florida Ave & R St NW,W01277,Member,2012
930,1/4/2012 18:28,1/4/2012 18:44,31230,Metro Center / 12th & G St NW,31204,20th & E St NW,W00304,Member,2012
926,1/4/2012 18:35,1/4/2012 18:50,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W00933,Member,2012
259,1/4/2012 18:55,1/4/2012 18:59,31109,7th & T St NW,31503,Florida Ave & R St NW,W00904,Member,2012
460,1/4/2012 18:57,1/4/2012 19:05,31246,M St & Pennsylvania Ave NW,31212,21st & M St NW,W00641,Member,2012
356,1/4/2012 19:16,1/4/2012 19:22,31107,Lamont & Mt Pleasant NW,31113,Columbia Rd & Belmont St NW,W01460,Member,2012
292,1/4/2012 19:22,1/4/2012 19:27,31229,New Hampshire Ave & T St NW,31111,10th & U St NW,W00203,Member,2012
182,1/4/2012 19:35,1/4/2012 19:38,31007,Crystal City Metro / 18th & Bell St,31013,Eads & 22nd St S,W01332,Member,2012
578,1/4/2012 19:44,1/4/2012 19:54,31616,3rd & H St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W00278,Member,2012
438,1/4/2012 20:02,1/4/2012 20:10,31239,Rhode Island & Connecticut Ave NW,31227,13th St & New York Ave NW,W00211,Member,2012
522,1/4/2012 20:04,1/4/2012 20:12,31232,7th & F St NW / National Portrait Gallery,31244,4th & E St SW,W00582,Member,2012
372,1/4/2012 20:13,1/4/2012 20:19,31607,14th & D St SE,31619,Lincoln Park / 13th & East Capitol St NE ,W01179,Member,2012
1050,1/4/2012 20:17,1/4/2012 20:35,31205,21st & I St NW,31506,1st & Rhode Island Ave NW,W01088,Member,2012
793,1/4/2012 20:52,1/4/2012 21:05,31201,15th & P St NW,31201,15th & P St NW,W00471,Member,2012
414,1/4/2012 22:41,1/4/2012 22:48,31602,Park Rd & Holmead Pl NW,31104,Adams Mill & Columbia Rd NW,W00350,Casual,2012
137,1/4/2012 23:20,1/4/2012 23:22,31007,Crystal City Metro / 18th & Bell St,31011,23rd & Crystal Dr,W00960,Member,2012
322,1/4/2012 23:47,1/4/2012 23:52,31104,Adams Mill & Columbia Rd NW,31105,14th & Harvard St NW,W00083,Member,2012
384,1/5/2012 7:04,1/5/2012 7:11,31207,Georgia Ave and Fairmont St NW,31223,Convention Center / 7th & M St NW,W01160,Member,2012
236,1/5/2012 7:46,1/5/2012 7:50,31218,L'Enfant Plaza / 7th & C St SW,31219,10th St & Constitution Ave NW,W00890,Member,2012
174,1/5/2012 7:53,1/5/2012 7:56,31116,California St & Florida Ave NW,31116,California St & Florida Ave NW,W00695,Member,2012
677,1/5/2012 7:55,1/5/2012 8:06,31101,14th & V St NW,31212,21st & M St NW,W00279,Member,2012
