Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,Year
460,1/1/2012 0:46,1/1/2012 0:53,31201,15th & P St NW,31229,New Hampshire Ave & T St NW,W00790,Member,2012
1268,1/1/2012 1:18,1/1/2012 1:39,31113,Columbia Rd & Belmont St NW,31110,20th St & Florida Ave NW,W00981,Member,2012
891,1/1/2012 1:51,1/1/2012 2:06,31616,3rd & H St NE,31208,M St & New Jersey Ave SE,?(0x000000004443704F),Member,2012
605,1/1/2012 2:26,1/1/2012 2:36,31111,10th & U St NW,31107,Lamont & Mt Pleasant NW,W00163,Member,2012
4279,1/1/2012 9:22,1/1/2012 10:33,31241,Thomas Circle,31241,Thomas Circle,W01185,Casual,2012
562,1/1/2012 9:33,1/1/2012 9:42,31116,California St & Florida Ave NW,31205,21st & I St NW,W00902,Member,2012
819,1/1/2012 9:45,1/1/2012 9:58,31102,11th & Kenyon St NW,31200,Massachusetts Ave & Dupont Circle NW,W00780,Member,2012
639,1/1/2012 11:08,1/1/2012 11:19,31401,14th St & Spring Rd NW,31201,15th & P St NW,W00982,Member,2012
518,1/1/2012 11:32,1/1/2012 11:41,31602,Park Rd & Holmead Pl NW,31401,14th St & Spring Rd NW,W01072,Member,2012
2319,1/1/2012 11:37,1/1/2012 12:16,31602,Park Rd & Holmead Pl NW,31235,19th St & Constitution Ave NW,W00148,Casual,2012
413,1/1/2012 11:41,1/1/2012 11:48,31204,20th & E St NW,31237,25th St & Pennsylvania Ave NW,W00156,Member,2012
1000,1/1/2012 11:44,1/1/2012 12:01,31604,3rd & H St NW,31217,USDA / 12th & Independence Ave SW,W01367,Member,2012
135,1/1/2012 11:47,1/1/2012 11:49,31400,Georgia & New Hampshire Ave NW,31404,9th & Upshur St NW,W01114,Member,2012
461,1/1/2012 11:58,1/1/2012 12:06,31225,C & O Canal & Wisconsin Ave NW,31014,Lynn & 19th St North,W00646,Member,2012
1255,1/1/2012 12:04,1/1/2012 12:25,31217,USDA / 12th & Independence Ave SW,31231,14th & D St NW / Ronald Reagan Building,W01328,Member,2012
1417,1/1/2012 12:28,1/1/2012 12:52,31108,4th & M St SW,31242,18th St & Pennsylvania Ave NW,W00945,Casual,2012
804,1/1/2012 12:29,1/1/2012 12:43,31231,14th & D St NW / Ronald Reagan Building,31604,3rd & H St NW,W01328,Member,2012
488,1/1/2012 12:49,1/1/2012 12:57,31229,New Hampshire Ave & T St NW,31106,Calvert & Biltmore St NW,W01355,Member,2012
559,1/1/2012 12:51,1/1/2012 13:01,31239,Rhode Island & Connecticut Ave NW,31225,C & O Canal & Wisconsin Ave NW,W01376,Member,2012
